Date,Return
08/19/14,0.00807338679366512
08/18/14,0.01513558145700471
08/15/14,-0.002035936210237145
08/14/14,-0.00022616377949099596
08/13/14,0.02141339565845119
08/12/14,-0.009068757247306238
08/11/14,-0.0015647976973009433
08/08/14,0.009603123672452266
08/07/14,-0.005321660638059957
08/06/14,0.0023077603574989452
08/05/14,-0.01409760983749417
08/04/14,0.012507383042377605
08/01/14,-0.009674656968665282
07/31/14,-0.026931304061905033
07/30/14,0.003090809347345511
07/29/14,-0.008449104660963096
07/28/14,0.0026824366038291836
07/25/14,-0.00729749811811322
07/24/14,-0.004412905042009824
07/23/14,0.0020848897731681223
07/22/14,0.008940309689858336
07/21/14,-0.009427346884238755
07/18/14,0.037212662800520636
07/17/14,-0.015326311083527708
07/16/14,-0.0036252973089613743
07/15/14,-0.00015382494554664624
07/14/14,0.0098241583188322
07/11/14,0.014148215265495048
07/10/14,-0.008644640692925558
07/09/14,0.00873764274583379
07/08/14,-0.01916704375526171
07/07/14,-0.004241266456648866
07/03/14,0.004112727313565796
07/02/14,-0.0005748751291943545
07/01/14,0.012845891606881044
06/30/14,-0.0033954976492449555
06/27/14,0.002152827095408211
06/26/14,-0.0045796543147811845
06/25/14,0.024848554938749528
06/24/14,-0.0005841322126259791
06/23/14,0.015439730613615915
06/20/14,0.0026310874669971166
06/19/14,0.002764889929537445
06/18/14,0.019078781184148273
06/17/14,-0.002333389421854638
06/16/14,-0.013556534448994653
06/13/14,0.0007436241204074518
06/12/14,-0.013402744088723917
06/11/14,-0.003050583070173788
06/10/14,-0.0027930581941854916
06/09/14,0.010407533208607204
06/06/14,0.004387060907627246
06/05/14,0.016964751723763227
06/04/14,-0.0005138230745986242
06/03/14,-0.016229501238425287
06/02/14,-0.010645026271906518
05/30/14,-0.000339191080720264
05/29/14,-0.0028486374734608055
05/28/14,-0.007544821224640718
05/27/14,0.023973264444771162
05/23/14,0.014016802797273582
05/22/14,0.011355560931722127
05/21/14,0.017309408131549714
05/20/14,0.0017207254958691394
05/19/14,0.01580775533888164
05/16/14,0.0012501155712362159
05/15/14,-0.012665066841087737
05/14/14,-0.012080503404327965
05/13/14,0.005982026497625562
05/12/14,0.02157191750370299
05/09/14,0.015127254423993246
05/08/14,0.0020393506680271793
05/07/14,-0.010055490877637721
05/06/14,-0.02400485890827669
05/05/14,-0.0002273378135140799
05/02/14,-0.0064364511663525395
05/01/14,0.008905224878143473
04/30/14,-0.001970849441449437
04/29/14,0.020400276275255157
04/28/14,0.001879194428561187
04/25/14,-0.017099494618581398
04/24/14,-0.0033780315085715235
04/23/14,-0.014715503290709671
04/22/14,0.011709702116414445
04/21/14,-0.013952532202802934
04/17/14,-0.036726917292514455
04/16/14,0.03746915670975509
04/15/14,0.007361290452552567
04/14/14,0.003618528730643112
04/11/14,-0.019132996486587634
04/10/14,-0.04110685094086949
04/09/14,0.016651685806530685
04/08/14,0.03112508140258309
04/07/14,-0.009187283940202353
04/04/14,-0.04668794707285436
04/03/14,0.004832424270440819
04/02/14,-0.00028207785888434574
04/01/14,0.018295436390690242
03/31/14,-0.005393039459372201
03/28/14,0.002739689523067145
03/27/14,-0.012305863547698257
03/26/14,-0.023085850880294738
03/25/14,0.0006823037208945494
03/24/14,-0.02122498208387829
03/21/14,-0.011794570767541668
03/20/14,-0.00174282290380979
03/19/14,-0.009915243410186373
03/18/14,0.01607241624255206
03/17/14,0.016456322182957436
03/14/14,-0.013674615139915941
03/13/14,-0.01510808147489044
03/12/14,0.006091727731436859
03/11/14,-0.009557835685401929
03/10/14,-0.0026506896883096032
03/07/14,-0.003952083835811877
03/06/14,0.0011081479942161858
03/05/14,0.002757433142385617
03/04/14,0.010160514218868178
03/03/14,-0.010660977031954124
02/28/14,-0.0029199614649053577
02/27/14,-0.0007866799913468855
02/26/14,0.00013929957783648554
02/25/14,0.006177273378601073
02/24/14,0.007243738459102527
02/21/14,-0.00026568923045982174
02/20/14,0.001472057012778154
02/19/14,-0.007052678017270276
02/18/14,0.006717640414273753
02/14/14,0.0024168597704559273
02/13/14,0.01113188527960006
02/12/14,-0.0029324006019102716
02/11/14,0.014706833486124851
02/10/14,-0.003830348880920919
02/07/14,0.015069440843147272
02/06/14,0.014660577477719284
02/05/14,0.004428253105347585
02/04/14,0.004173123202481159
02/03/14,-0.04025500409222927
01/31/14,0.04014479376707135
01/30/14,0.025719980115029868
01/29/14,-0.01432755744939137
01/28/14,0.01977794298587703
01/27/14,-0.020109822207029737
01/24/14,-0.03126461708958521
01/23/14,-0.004223090172576607
01/22/14,0.0011343064100666747
01/21/14,0.011446924655805681
01/17/14,-0.004921164425881124
01/16/14,0.006616559887449254
01/15/14,-0.0006786252473116959
01/14/14,0.023526749127885008
01/13/14,-0.0063706495114544326
01/10/14,-5.312135182606438e-05
01/09/14,-0.00962997293009408
01/08/14,0.0020810790670082093
01/07/14,0.01927818925099502
01/06/14,0.011149370704810467
01/03/14,-0.007294850233821281
01/02/14,-0.006772482774811229
12/31/13,0.010140085587346099
12/30/13,-0.007993563681377033
12/27/13,0.0008412233977509649
12/26/13,0.005054672220903491
12/24/13,-0.0029234841831289548
12/23/13,0.013156198067109222
12/20/13,0.013256950211510509
12/19/13,0.0013552340898580141
12/18/13,0.01391766558597845
12/17/13,-0.0029078356272774393
12/16/13,0.011491483815386488
12/13/13,-0.00857040014287082
12/12/13,-0.006804095822473643
12/11/13,-0.00679480206271012
12/10/13,0.006047407507982454
12/09/13,0.007729927272757619
12/06/13,0.011850555555292559
12/05/13,-0.000793862815308104
